,filename,suffix,nb_chars,nb_tokens,ratio_alnum,ratio_al,ratio_num,nb_occ_article
160,9cc79b84d157d6e49d92bbff3b321e11,pdf,5575,1651,0.8130941704035874,0.792645739910314,0.020448430493273544,0
161,6cdf0c8f97e8f7e9db5772b907a5138b,pdf,1194,467,0.7696817420435511,0.7261306532663316,0.04355108877721943,3
162,8e6d55a06156ff2bb822304fa311439f_summary_en,txt,699,175,0.821173104434907,0.7782546494992847,0.04291845493562232,0
163,953c56c8a1d7f9d5b710111038aa7d3c_summary_fr,txt,279,64,0.8279569892473119,0.8279569892473119,0.0,0
164,0aa7b08975e773a11082d5a41fa70766,pdf,15341,4500,0.7904960563196662,0.7686591486865263,0.021836907633139953,13
165,7f7bbcd9798b735f9c6deb2429708fd4,pdf,1602,627,0.7927590511860175,0.7808988764044944,0.011860174781523096,0
166,b6bd1df0d361af11f59b83c8f0343894_summary_fr,txt,117,32,0.811965811965812,0.811965811965812,0.0,0
167,2b8d809694effac8cf2516dd44746671,pdf,26720,6974,0.8164296407185628,0.7968937125748503,0.019535928143712574,49
168,efb965e61138ce13f3b7ed6cb93b71fe,pdf,8414,2206,0.8144758735440932,0.7888043736629428,0.025671499881150462,14
169,12507b30c4c82bf0c68ed7730131b7dd_summary_en,txt,199,46,0.8341708542713567,0.7939698492462312,0.04020100502512563,0
170,89e530e78ab71ad88cbd7c5bd74d4bb5,pdf,47576,13160,0.8114385404405583,0.7835253068774172,0.027913233563141078,110
171,9caf2e1be07757f8fa04131e217dd6ed,pdf,31242,10241,0.7951795659688881,0.7288905959925741,0.06628896997631394,44
172,634ee62308d05acd90863f7e6893d6a1_summary_en,txt,214,38,0.8504672897196262,0.8504672897196262,0.0,0
173,a4e063ed46c74dd830020f5246edd614,pdf,2526,782,0.7996832937450514,0.7771179730799683,0.022565320665083134,4
174,724f4a757f4d6415f3ff76e56190b0a7,pdf,2576,740,0.8059006211180124,0.7779503105590062,0.027950310559006212,0
175,058b3d57777afcde21a68d08080df6ee_summary_fr,txt,737,192,0.8181818181818182,0.7774762550881954,0.0407055630936228,0
176,32f5618496692a491d692ff60dd08b33_summary_fr,txt,257,66,0.8093385214007782,0.8093385214007782,0.0,0
177,c270a93a04ad13d936c05ef5e25d482c,pdf,14311,4642,0.7983369436098107,0.7471176018447349,0.05121934176507582,34
178,a9fa91b8f68f0826aa1d4b545e55724f_summary_fr,txt,1213,336,0.79719703215169,0.7666941467436109,0.030502885408079144,0
179,6c2988342387dec3013bab4c31f4f9d1_summary_en,txt,177,36,0.8305084745762712,0.8305084745762712,0.0,0
180,6eb77cd9f02e61c68fa3f88e901c42a2,pdf,6523,1912,0.8034646634983903,0.7919668864019623,0.011497777096428024,10
181,f4a7ff2c466384af253f208432afafc7_summary_en,txt,674,133,0.8204747774480712,0.8204747774480712,0.0,0
182,430800357324de827d432d855e57c9c0_summary_en,txt,616,128,0.8392857142857143,0.8198051948051948,0.01948051948051948,0
183,40403184c17d42aaa75b584041e604a7,pdf,12503,3172,0.814524514116612,0.7958090058385987,0.018715508278013278,40
184,3d4e0087ca5a0e685348ae052c18239d_summary_fr,txt,243,55,0.8189300411522634,0.8189300411522634,0.0,0
185,baa4dd24ecfc3fd95b3bd6939968ba6a,pdf,6159,1821,0.8093846403636954,0.7907127780483845,0.018671862315310928,6
186,8a42755018b489af27b83d5d700606ed_summary_en,txt,314,62,0.8248407643312102,0.8248407643312102,0.0,0
187,ed2ab474f2f7d68b41973c706694f9b9,pdf,17822,4385,0.8178094489956234,0.7992368982156884,0.018572550779934912,23
188,dd6fab4c740836f2085b57ac5097bbf9,pdf,11185,2535,0.8307554760840411,0.8187751452838623,0.011980330800178811,14
189,e2c22a34085297124a085ddcda8418aa,pdf,26432,7507,0.809284200968523,0.7878329297820823,0.021451271186440676,23
190,206ec30cf3ae638400ae9f0b5467503c_summary_fr,txt,522,109,0.8333333333333334,0.8333333333333334,0.0,0
191,57815ce49516c8ee5313147e789ddd98,pdf,18869,6150,0.7985054851873443,0.7747628385182045,0.023742646669139857,17
192,9e4bbd718149c24108d270d25b52053f,pdf,2892,751,0.8188105117565698,0.7991009681881052,0.01970954356846473,5
193,206ec30cf3ae638400ae9f0b5467503c,pdf,29966,9729,0.811519722351999,0.7838884068611093,0.027631315490889676,0
194,be94d80a0dd8b146d92fc7a2decf6db9_summary_en,txt,467,83,0.8372591006423983,0.8372591006423983,0.0,0
195,fa6f6cb4bf47763d0afdc0993caf3d3a,pdf,18125,4780,0.8197517241379311,0.805848275862069,0.013903448275862068,16
196,23b60ae44c6320bc72754375e891f827,pdf,2022,673,0.7942631058358062,0.787833827893175,0.006429277942631058,0
197,b9f12b18797f8bb68c0e4d2a05ad9d92,pdf,5868,1758,0.8040218132242672,0.7830606680299932,0.020961145194274028,8
198,498794ad93be2a7dbd042858175d54fc,pdf,13754,3817,0.811836556638069,0.7977315689981096,0.014104987639959285,14
199,4dc72ff6d59108ccf63333589febe56e,pdf,11464,2943,0.8202198185624564,0.8078332170272157,0.012386601535240753,10
200,46a313db6279d7bba0e1413f197d59fa_summary_fr,txt,262,50,0.8358778625954199,0.8358778625954199,0.0,0
201,843c4dbeb0d3145b5f45c29d6a889db6,pdf,32970,9304,0.8099787685774947,0.7884743706399757,0.021504397937518956,32
202,c395098dee071ebea47a8db44dfb2c2d_summary_fr,txt,604,137,0.8195364238410596,0.8129139072847682,0.006622516556291391,0
203,1392eef3faa8f83e8df65299f328427f_summary_fr,txt,417,103,0.8129496402877698,0.8105515587529976,0.002398081534772182,0
204,a68fc4fbeaf6f38240722db4a7c5a3aa,pdf,47233,15752,0.791882793809413,0.7309296466453539,0.06095314716405903,82
205,d766c4f37a0ccdc764f78c8d11bcca86,pdf,3157,904,0.8127969591384225,0.7991764333227748,0.013620525815647768,0
206,8b85701a4da5515544e064a65417bce2_summary_en,txt,548,96,0.8302919708029197,0.8302919708029197,0.0,0
207,7a2993c943fc2368597f5aa408de8193_summary_fr,txt,719,164,0.8233657858136301,0.8122392211404729,0.011126564673157162,0
208,21c2093077fc2745d3659973617e82c3_summary_fr,txt,404,81,0.8391089108910891,0.8391089108910891,0.0,0
209,f21af16047e3bc4298d8c2ccc050f0fb,pdf,1850,568,0.7924324324324324,0.7827027027027027,0.00972972972972973,0
